0.00000e+00 , 1.10000e+01 , 2.20000e+01 , 3.30000e+01 , 4.40000e+01 , 5.50000e+01 , 6.60000e+01 , 8.80000e+01 , 1.10000e+02 , 1.10000e+03
1.00000e+01 , 3.76607e+01 , 3.53719e+01 , 3.61591e+01 , 3.90182e+01 , 3.72482e+01 , 3.62009e+01 , 3.86409e+01 , 3.78462e+01 , 3.85184e+01
2.00000e+01 , 4.15419e+01 , 3.94212e+01 , 3.82782e+01 , 4.10906e+01 , 4.14229e+01 , 3.89885e+01 , 4.18479e+01 , 4.24010e+01 , 4.12711e+01
3.00000e+01 , 3.68336e+01 , 3.77013e+01 , 3.31561e+01 , 3.71315e+01 , 3.42332e+01 , 3.39214e+01 , 3.40108e+01 , 3.51461e+01 , 3.40477e+01
4.00000e+01 , 1.82443e+01 , 1.66710e+01 , 1.98489e+01 , 1.74976e+01 , 1.74628e+01 , 1.87236e+01 , 1.83196e+01 , 1.80281e+01 , 1.80062e+01
5.00000e+01 , 1.04369e+01 , 1.04599e+01 , 1.05736e+01 , 9.97367e+00 , 1.01645e+01 , 1.02097e+01 , 1.02248e+01 , 1.06865e+01 , 1.02357e+01
6.00000e+01 , 6.88363e+00 , 6.62464e+00 , 6.92406e+00 , 7.13919e+00 , 7.03983e+00 , 6.85838e+00 , 7.33980e+00 , 6.57682e+00 , 6.94759e+00
8.00000e+01 , 4.34891e+00 , 4.48889e+00 , 4.45742e+00 , 4.45230e+00 , 4.42260e+00 , 4.24844e+00 , 4.47741e+00 , 4.58044e+00 , 4.60709e+00
1.00000e+02 , 3.48978e+00 , 3.42082e+00 , 3.55571e+00 , 3.54256e+00 , 3.40257e+00 , 3.53869e+00 , 3.65582e+00 , 3.55266e+00 , 3.64037e+00
1.00000e+03 , 2.52976e+00 , 2.61319e+00 , 2.37815e+00 , 2.73454e+00 , 2.55091e+00 , 2.65615e+00 , 2.73401e+00 , 2.74053e+00 , 2.55012e+00
